clave_ent,ent,anio,trimestre,pesos_constantes,canasta_alimentaria,desagregacion
6,Colima,2010,4,2222.46,2244.65,Estatal
6,Colima,2011,1,2221.64,2235.71,Estatal
6,Colima,2011,2,2294.94,2301.88,Estatal
6,Colima,2011,3,2193.37,2207.54,Estatal
6,Colima,2011,4,2210.63,2209.67,Estatal
6,Colima,2012,1,2306.38,2279.84,Estatal
6,Colima,2012,2,2357.63,2304.26,Estatal
6,Colima,2012,3,2411.91,2295.72,Estatal
6,Colima,2012,4,2306.9,2185.53,Estatal
6,Colima,2013,1,2361.18,2239.73,Estatal
6,Colima,2013,2,2444.74,2307.74,Estatal
6,Colima,2013,3,2292.88,2166.89,Estatal
6,Colima,2013,4,2338.4,2200.81,Estatal
6,Colima,2014,1,2223.45,2075.84,Estatal
6,Colima,2014,2,2198.55,2072.07,Estatal
6,Colima,2014,3,2217.12,2068.37,Estatal
6,Colima,2014,4,2193.75,2026.55,Estatal
6,Colima,2015,1,2205.94,2072.1,Estatal
6,Colima,2015,2,2182.2,2038.91,Estatal
6,Colima,2015,3,2182.18,2023.72,Estatal
6,Colima,2015,4,2171.38,2009.12,Estatal
6,Colima,2016,1,2229.22,2029.47,Estatal
6,Colima,2016,2,2206.92,2017.45,Estatal
6,Colima,2016,3,2217.94,2047.7,Estatal
6,Colima,2016,4,2250.46,2062.33,Estatal
6,Colima,2017,1,2290.03,2129.89,Estatal
6,Colima,2017,2,2179.38,1992.65,Estatal
6,Colima,2017,3,2271.52,2010.43,Estatal
6,Colima,2017,4,2270.76,2035.8,Estatal
6,Colima,2018,1,2384.41,2169.06,Estatal
6,Colima,2018,2,2362.09,2156.87,Estatal
6,Colima,2018,3,2500.92,2262.35,Estatal
6,Colima,2018,4,2387.36,2164.11,Estatal
6,Colima,2019,1,2368.16,2128.03,Estatal
6,Colima,2019,2,2336.41,2103.02,Estatal
6,Colima,2019,3,2408.71,2173.97,Estatal
6,Colima,2019,4,2386.93,2164.42,Estatal
6,Colima,2020,1,2396.96,2139.57,Estatal
6,Colima,2020,3,2103.8,1855.88,Estatal
6,Colima,2020,4,2233.91,1974.28,Estatal
7,Chiapas,2005,1,859.86,965.93,Estatal
7,Chiapas,2005,2,868.87,940.57,Estatal
7,Chiapas,2005,3,896.18,977.49,Estatal
7,Chiapas,2005,4,870.55,967.8,Estatal
7,Chiapas,2006,1,899.32,988.01,Estatal
7,Chiapas,2006,2,900.4,998.92,Estatal
7,Chiapas,2006,3,899.53,984.02,Estatal
7,Chiapas,2006,4,908.33,965.62,Estatal
7,Chiapas,2007,1,960.68,1013.95,Estatal
7,Chiapas,2007,2,994.52,1065,Estatal
7,Chiapas,2007,3,956.17,1024.35,Estatal
7,Chiapas,2007,4,989.79,1052.04,Estatal
7,Chiapas,2008,1,970.65,1036.81,Estatal
7,Chiapas,2008,2,986.11,1037.77,Estatal
7,Chiapas,2008,3,974.19,1018.65,Estatal
7,Chiapas,2008,4,949.16,979.4,Estatal
7,Chiapas,2009,1,985.47,1015.07,Estatal
7,Chiapas,2009,2,959.19,963.97,Estatal
7,Chiapas,2009,3,1028.93,1021.11,Estatal
7,Chiapas,2009,4,957.26,960.57,Estatal
7,Chiapas,2010,1,969.7,969.7,Estatal
7,Chiapas,2010,2,954.74,960.63,Estatal
7,Chiapas,2010,3,970.03,988.98,Estatal
7,Chiapas,2010,4,921.34,931.81,Estatal
7,Chiapas,2011,1,1003.55,1011.52,Estatal
7,Chiapas,2011,2,1026.26,1031.23,Estatal
7,Chiapas,2011,3,985.15,993.49,Estatal
7,Chiapas,2011,4,972.49,973,Estatal
7,Chiapas,2012,1,984.75,973.68,Estatal
7,Chiapas,2012,2,983.31,961.5,Estatal
7,Chiapas,2012,3,983.4,935.55,Estatal
7,Chiapas,2012,4,944.7,894.7,Estatal
7,Chiapas,2013,1,986.36,935.61,Estatal
7,Chiapas,2013,2,935.02,882.5,Estatal
7,Chiapas,2013,3,965.28,912.9,Estatal
7,Chiapas,2013,4,917.22,863.27,Estatal
7,Chiapas,2014,1,944,882.58,Estatal
7,Chiapas,2014,2,865.99,818.87,Estatal
7,Chiapas,2014,3,881.9,825.03,Estatal
7,Chiapas,2014,4,863.71,798.82,Estatal
7,Chiapas,2015,1,921.77,866.17,Estatal
7,Chiapas,2015,2,912.89,852.91,Estatal
7,Chiapas,2015,3,928.2,860.75,Estatal
7,Chiapas,2015,4,899.61,832.22,Estatal
7,Chiapas,2016,1,971.15,882.45,Estatal
7,Chiapas,2016,2,911.66,832.9,Estatal
7,Chiapas,2016,3,932.3,860.36,Estatal
7,Chiapas,2016,4,914.51,837.05,Estatal
7,Chiapas,2017,1,916.02,852.29,Estatal
7,Chiapas,2017,2,897.52,820.35,Estatal
7,Chiapas,2017,3,862.08,761.94,Estatal
7,Chiapas,2017,4,858.14,768.95,Estatal
7,Chiapas,2018,1,898.62,817.49,Estatal
7,Chiapas,2018,2,904.18,825.94,Estatal
7,Chiapas,2018,3,907.83,821.69,Estatal
7,Chiapas,2018,4,871.08,789.39,Estatal
7,Chiapas,2019,1,903.85,812.02,Estatal
7,Chiapas,2019,2,898.64,808.88,Estatal
7,Chiapas,2019,3,909.98,821.43,Estatal
7,Chiapas,2019,4,979.8,888.74,Estatal
7,Chiapas,2020,1,991.99,884.92,Estatal
7,Chiapas,2020,3,887.66,781.61,Estatal
7,Chiapas,2020,4,998.81,880.68,Estatal
8,Chihuahua,2005,1,2134.53,2388.95,Estatal
8,Chihuahua,2005,2,2243.6,2423.7,Estatal
8,Chihuahua,2005,3,2314.06,2516.83,Estatal
8,Chihuahua,2005,4,2540.66,2811.94,Estatal
8,Chihuahua,2006,1,2424.15,2655.07,Estatal
8,Chihuahua,2006,2,2660.01,2938.84,Estatal
8,Chihuahua,2006,3,2558.16,2790.38,Estatal
8,Chihuahua,2006,4,2418.66,2570.52,Estatal
8,Chihuahua,2007,1,2430.11,2563.23,Estatal
8,Chihuahua,2007,2,2483.26,2653.19,Estatal
8,Chihuahua,2007,3,2742.09,2930.57,Estatal
8,Chihuahua,2007,4,2457.39,2606.42,Estatal
8,Chihuahua,2008,1,2552.42,2718.23,Estatal
8,Chihuahua,2008,2,2457.77,2581.18,Estatal
8,Chihuahua,2008,3,2351.25,2454.36,Estatal
8,Chihuahua,2008,4,2087.68,2152.3,Estatal
8,Chihuahua,2009,1,2155.69,2217.51,Estatal
8,Chihuahua,2009,2,2141.72,2151.61,Estatal
8,Chihuahua,2009,3,2066.32,2050.32,Estatal
8,Chihuahua,2009,4,1907.32,1913.1,Estatal
8,Chihuahua,2010,1,1930.71,1930.71,Estatal
8,Chihuahua,2010,2,2001.41,2011.92,Estatal
8,Chihuahua,2010,3,1923.45,1957.1,Estatal
8,Chihuahua,2010,4,1675.38,1692.9,Estatal
8,Chihuahua,2011,1,1675.22,1686.33,Estatal
8,Chihuahua,2011,2,1713.25,1718.85,Estatal
8,Chihuahua,2011,3,1671.26,1682.57,Estatal
8,Chihuahua,2011,4,1836.64,1836.45,Estatal
8,Chihuahua,2012,1,1789.22,1768.74,Estatal
8,Chihuahua,2012,2,1930.08,1886.42,Estatal
8,Chihuahua,2012,3,1987.18,1891.4,Estatal
8,Chihuahua,2012,4,1964.14,1860.73,Estatal
8,Chihuahua,2013,1,1855.03,1759.62,Estatal
8,Chihuahua,2013,2,2024.49,1911.06,Estatal
8,Chihuahua,2013,3,1994.38,1885.04,Estatal
8,Chihuahua,2013,4,2035.38,1915.62,Estatal
8,Chihuahua,2014,1,1953.89,1824.29,Estatal
8,Chihuahua,2014,2,2101.32,1980.69,Estatal
8,Chihuahua,2014,3,2033.25,1898.32,Estatal
8,Chihuahua,2014,4,1992.19,1840.56,Estatal
8,Chihuahua,2015,1,2018.48,1896.11,Estatal
8,Chihuahua,2015,2,2142.3,2001.61,Estatal
8,Chihuahua,2015,3,2167.33,2009.93,Estatal
8,Chihuahua,2015,4,2276.79,2106.53,Estatal
8,Chihuahua,2016,1,2213.26,2014.29,Estatal
8,Chihuahua,2016,2,2419.53,2211.62,Estatal
8,Chihuahua,2016,3,2517.87,2324.45,Estatal
8,Chihuahua,2016,4,2481.5,2273.7,Estatal
8,Chihuahua,2017,1,2510.69,2335.23,Estatal
8,Chihuahua,2017,2,2376.63,2172.97,Estatal
8,Chihuahua,2017,3,2442.9,2161.75,Estatal
8,Chihuahua,2017,4,2358.52,2114.2,Estatal
8,Chihuahua,2018,1,2302.23,2094.33,Estatal
8,Chihuahua,2018,2,2411.28,2201.8,Estatal
8,Chihuahua,2018,3,2391.94,2163.68,Estatal
8,Chihuahua,2018,4,2313.88,2097.55,Estatal
